tensor([[[[0.5556]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4011]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4305]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3853]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4816]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4698]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4214]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4327]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3588]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3943]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4666]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4047]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4523]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4749]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5104]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3632]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4260]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5459]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3803]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4720]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4708]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4310]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5630]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4351]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4900]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3768]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4413]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3645]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5955]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4160]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4672]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4031]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4484]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5261]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5577]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4292]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5651]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4122]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5140]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5512]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3995]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4498]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4224]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4416]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4252]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4481]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3967]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4642]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3649]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4192]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4011]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4318]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3812]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4482]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4765]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4722]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5194]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3897]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4366]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3989]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4367]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4044]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3895]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4277]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4338]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4770]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4581]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3837]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4596]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4032]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3557]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4491]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5027]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4000]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5180]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3915]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4442]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4644]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4360]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4162]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3859]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4270]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4663]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4871]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3615]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4172]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4909]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5043]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4053]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3858]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4019]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4438]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4047]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4686]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4289]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5625]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4617]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3950]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4945]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3552]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4323]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4108]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4622]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3724]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4036]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4230]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.6467]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4649]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4412]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4792]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4201]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4324]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3554]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5030]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4286]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5605]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3828]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5125]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4136]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3740]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3946]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5426]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3660]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4975]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4813]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4388]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4083]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4476]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4694]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5613]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3953]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4710]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4582]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5237]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5238]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4383]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3822]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3626]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4227]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3948]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4524]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3904]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3655]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4273]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4202]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4245]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4968]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4376]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5990]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4751]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4743]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4683]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5066]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4798]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4177]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3956]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4651]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4050]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3539]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4273]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.6172]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5541]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5312]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4422]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3739]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4419]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5655]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3941]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5246]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3975]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4301]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3820]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5003]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4305]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4170]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4849]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4152]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4487]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5072]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4614]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4625]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4061]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4341]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3868]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5051]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4506]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5733]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3237]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4587]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5076]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4656]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4194]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4958]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4714]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4820]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4829]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4050]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4364]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4187]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4337]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4912]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4492]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4384]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4514]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3817]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3656]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3862]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4661]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4610]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4687]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4607]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4883]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3883]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4514]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3613]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3822]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4494]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4871]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3701]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4275]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4203]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4554]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4492]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4598]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4087]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4005]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3456]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4503]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3933]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4209]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4878]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4984]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4983]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4353]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3780]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4035]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4872]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4121]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4230]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5066]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4311]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3827]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4305]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5260]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3978]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4678]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3970]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4335]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3872]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4960]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5371]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4037]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4464]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3471]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4141]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5509]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4294]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4463]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4303]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4165]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4365]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3962]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4299]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4805]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4959]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3930]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4720]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4544]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5550]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4088]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4354]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5305]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4819]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4832]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4314]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3996]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4221]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4334]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3904]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5048]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5411]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4933]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3390]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3751]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4390]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4905]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4336]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3854]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5320]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3779]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5328]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4901]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5432]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4186]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4241]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5314]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4436]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4649]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3770]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4520]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3919]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4751]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4485]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3907]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4463]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4258]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3897]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4323]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4458]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3790]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4505]]]], device='cuda:0', grad_fn=<AddBackward0>)
